Using GPU inside JupyterLab session
stdout log: ../logs/2_wmt_training_20251129_010807.log
stderr log: ../logs/2_wmt_training_20251129_010807.err
Start Time: Sat Nov 29 01:08:07 CET 2025
Node: gx06
Working Directory: /sc/home/sandeep.uprety/thesis_project/self_correction_llm_based_translation_thesis/thesis_project/sh_files
Sat Nov 29 01:08:07 2025       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 570.133.20             Driver Version: 570.133.20     CUDA Version: 12.8     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA A100-PCIE-40GB          Off |   00000000:25:00.0 Off |                    0 |
| N/A   32C    P0             38W /  250W |       0MiB /  40960MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
============================================================
WMT Fine-tuning
Model: llama3
Language Pair: de_en
============================================================

Loading training data
  Train: ../../data/processed/de_en/train_europarl_newstest_balanced_26000.tsv
  Val: ../../data/processed/de_en/mix2k_dev.tsv
  Train samples: 26000
  Val samples: 1999

Loading model: meta-llama/Meta-Llama-3-8B

Setting up LoRA
  Rank: 16, Alpha: 32
  Target modules: ['q_proj', 'k_proj', 'v_proj', 'o_proj', 'gate_proj', 'up_proj', 'down_proj']
trainable params: 41,943,040 || all params: 8,072,204,288 || trainable%: 0.5196

Preparing datasets

Starting training
  Epochs: 3
  Effective batch size: 16
  Learning rate: 0.0001
{'loss': 1.4375, 'grad_norm': 1.18000328540802, 'learning_rate': 2.0081967213114755e-05, 'epoch': 0.03}
{'loss': 0.8612, 'grad_norm': 0.9492285847663879, 'learning_rate': 4.057377049180328e-05, 'epoch': 0.06}
{'loss': 0.8496, 'grad_norm': 1.0445971488952637, 'learning_rate': 6.10655737704918e-05, 'epoch': 0.09}
{'loss': 0.8259, 'grad_norm': 1.0660992860794067, 'learning_rate': 8.155737704918032e-05, 'epoch': 0.12}
{'loss': 0.8413, 'grad_norm': 0.9699179530143738, 'learning_rate': 9.999971237291203e-05, 'epoch': 0.15}
{'loss': 0.8587, 'grad_norm': 0.955994725227356, 'learning_rate': 9.996520112627602e-05, 'epoch': 0.18}
{'loss': 0.8184, 'grad_norm': 0.903451681137085, 'learning_rate': 9.987320995457625e-05, 'epoch': 0.22}
{'loss': 0.8172, 'grad_norm': 0.846505343914032, 'learning_rate': 9.972384468437874e-05, 'epoch': 0.25}
{'loss': 0.8143, 'grad_norm': 0.7934271693229675, 'learning_rate': 9.951727714536386e-05, 'epoch': 0.28}
{'loss': 0.862, 'grad_norm': 0.8725359439849854, 'learning_rate': 9.925374497265355e-05, 'epoch': 0.31}
{'eval_loss': 0.8161860704421997, 'eval_runtime': 64.7159, 'eval_samples_per_second': 30.889, 'eval_steps_per_second': 15.452, 'epoch': 0.31}
{'loss': 0.8255, 'grad_norm': 0.8344128131866455, 'learning_rate': 9.893355133343611e-05, 'epoch': 0.34}
{'loss': 0.8241, 'grad_norm': 0.8313395977020264, 'learning_rate': 9.8557064578203e-05, 'epoch': 0.37}
{'loss': 0.8122, 'grad_norm': 0.707967221736908, 'learning_rate': 9.812471781699857e-05, 'epoch': 0.4}
{'loss': 0.796, 'grad_norm': 0.8971372246742249, 'learning_rate': 9.76370084211708e-05, 'epoch': 0.43}
{'loss': 0.83, 'grad_norm': 0.7628297209739685, 'learning_rate': 9.709449745119565e-05, 'epoch': 0.46}
{'loss': 0.8477, 'grad_norm': 0.9339847564697266, 'learning_rate': 9.649780901123357e-05, 'epoch': 0.49}
