source,reference,wmt_prediction,sc_initial,sc_corrected,sc_final,wmt_bleu,sc_initial_bleu,sc_final_bleu,bleu_diff,wmt_comet,sc_initial_comet,sc_final_comet,comet_diff
"Kurz nachdem sie ihre Beziehung aufgelöst hatte, wurde bekannt, dass sie schwanger war.","They decided to split, soon after they found out that she was pregnant.","Shortly after ending her relationship, it was revealed that she was pregnant.","Shortly after she had broken off her relationship, it was discovered that she was pregnant.","Not long after she had ended her relationship with him, she found out she was pregnant.",0.819,26.92,23.29,17.18,-9.740000000000002,0.8613,0.848,0.8681,0.006800000000000028
"Ich habe von folgendem Schema gehört: Die Webseite ist normalerweise im Ausland registriert, und russische Gesetze finden keine Anwendung.",I heard about this: normally the site is registered outside the area of applicability of the laws of Russia.,"I have heard of the following scheme: the website is usually registered abroad, and Russian laws do",I have heard of the following scheme: the website is usually registered abroad and Russian laws do not apply.,I have heard of the following scheme: the website is usually registered abroad and Russian laws do not apply.,0.819,5.31,5.43,5.43,0.1200000000000001,0.7055,0.8309,0.8309,0.12539999999999996
"""Stellt man eine statische Tafel auf, die vor einer Gefahr warnt, wird diese wahrscheinlich bald mit der Umgebung verfließen, und die Fahrer werden sie nicht mehr wahrnehmen"", meint Kořán.","""If a static table which warns against danger is installed, it will likely soon blend in with the surroundings and the drivers will not pay attention to it,"" Kořán warned.","""If you put a static warning board in front of a danger, it will soon blend in","Kořán says that if you put a static warning sign on a road, it will soon disappear into the background and drivers will not see it.","""If you put up a static sign warning of danger, it will probably blend in with its",0.819,7.03,8.51,7.03,0.0,0.6985,0.8213,0.6419,-0.056599999999999984
"Wie ein AZ-Reporter berichtet, kam es auch auf der Gegenfahrbahn zu massiven Behinderungen - durch zahlreiche Gaffer.","As an AZ journalist reports, there were massive disruptions in the opposite lane as well – due to numerous rubberneckers.","According to an AZ reporter, there were also massive delays on the opposite lane - due to numerous","According to an AZ reporter, there were also massive delays on the other side of the road - caused by a large number of spectators.","According to an AZ reporter, there were also huge tailbacks on the opposite carriageway - caused by gawpers.",0.819,16.38,7.52,10.09,-6.289999999999999,0.7319,0.7219,0.6921,-0.03979999999999995
Ansonsten ging er mit seinen Verlierern in seiner Geburtsstadt allerdings überraschend sanft um und schob seine erste Niederlage als Münchner Coach lediglich auf den erneut mangelhaften Umgang mit Chancen.,"Apart from this, he quietly bypassed his native city with his losers and put his first defeat as Munich coach down to the inadequate handling of opportunities.","Otherwise, he dealt surprisingly gently with his losers in his home town and pushed his first defeat as","Otherwise, he was surprisingly gentle with his losers in his hometown and pushed his first defeat as a Munich coach to the fact that he was again unable to take advantage of opportunities.","Otherwise, he dealt surprisingly gently with his losers in his home town, merely putting his first defeat as a Munich coach down to his team's continued failure to make the most of chances.",0.819,12.69,15.47,18.14,5.450000000000001,0.591,0.7682,0.7861,0.19510000000000005
"Aber in Anbetracht dessen, dass jede Attraktion für diese Gegenstände mehr Geld für die Branche bedeuten und einige Kunden in die Tiefen Sohos für mehr schicken könnte, gibt es nichts, um sich zu beschweren.","But, given that any attraction to these items could mean more money for the industry and send a few customers into the depths of Soho for more, there is little to complain about.",But given that each attraction for these items means more money for the industry and some customers deeper into,"But in view of the fact that every attraction for these objects means more money for the industry and some customers into the depths of Soho for more, there is nothing to complain about.","But given that each attraction for these items could send more money to the industry and could send some customers to the depths of Soho for more, there's nothing to complain about.",0.819,13.94,48.92,33.73,19.79,0.6843,0.8447,0.8785,0.19419999999999993
"""Die Polizei hat eine Vorstellung von ihrem Aufenthaltsort, und unsere Bemühungen, sie zu lokalisieren, verstärken sich"", sagte Guglielmi.","""Police have an idea of their whereabouts but our efforts to locate that are intensifying,"" Guglielmi said.","""The police have an idea of their location and our efforts to locate them are increasing,"" G","The police have an idea of where they are and our efforts to locate them are intensifying, said Guglielmi.","""The police have an idea of where they are, and our efforts to find them are increasing,"" Guglielmi said.",0.819,32.37,29.72,30.71,-1.6599999999999966,0.8442,0.9007,0.9,0.05580000000000007
"Nachdem die Diskussion ausgestrahlt wurde, explodierten die Sozialen Medien vor Missbilligung über Damons Kommentare.","After the discussion aired, social media exploded in disapproval over Damon's comments.","After the discussion aired, social media exploded with disapproval over Damon's comments.","After the debate was broadcast, social media exploded with disapproval of Damon's comments.","After the discussion was aired, social media exploded with disapproval over Damon's comments.",0.819,78.25,27.23,57.74,-20.509999999999998,0.9546,0.9352,0.9501,-0.0045000000000000595
"In dem Moment war ich sehr froh, dass ich schon vor gut zwei Jahren angefangen hatte, die Sprache zu lernen.","At that moment, I was very glad that I'd been learning the language for two years already.","At the time, I was very glad that I had started to learn the language about two years",At that time I was very glad that I had started to learn the language two years before.,At that moment I was very happy that I had started to learn the language two years before.,0.819,31.57,27.13,16.68,-14.89,0.7551,0.8761,0.879,0.12390000000000001
"Die Männer wurden bei einem Überfall auf ein Haus in Sarghoda, in der östlichen Pandschab-Provinz festgenommen, teilte die amerikanische Botschaft in Pakistan der BBC mit.","The men were arrested in a raid on a house in Sarghoda in eastern Punjab province, Pakistan's US embassy told the BBC.","The men were arrested during a raid on a house in Sarghoda, in the eastern","The men were arrested during a raid on a house in Sarghoda, in the eastern Punjab province, the US embassy in Pakistan told the BBC.","The men were detained during an attack on a house in Sarghoda, in eastern Punjab, the US embassy in Pakistan told the BBC.",0.819,34.78,49.0,33.99,-0.7899999999999991,0.75,0.9247,0.8967,0.14670000000000005
"Nach einem Besuch des Hauptquartiers der Organisation in Moskau im Juli erklärte WADA-Generaldirektor Olivier Niggli, dass RUSADA sich ""in die richtige Richtung"" bewegt, um wieder eingesetzt zu werden.","Following a visit to the organization's headquarters in Moscow in July, WADA Director General Olivier Niggli stated that RUSADA is ""moving in the right direction"" to be reinstated.","After visiting the organisation's headquarters in Moscow in July, WADA director general Olivier Niggli","After a visit to the organisation's headquarters in Moscow in July, WADA's director-general, Olivier Niggli, said that RUSADA was'moving in the right direction' to be reinstated.","Following a visit to the WADA headquarters in Moscow in July, WADA director general Olivier Niggli said that RUSADA was ""moving in the right direction"" to be reinstated.",0.819,14.64,35.84,63.62,48.98,0.6009,0.8819,0.8979,0.29700000000000004
"Wortkarg gab er sich, der Coach des Fußball-Bezirksligisten VfL Wolbeck, zog sich erst mal (innerlich) zurück, um über die fehlende Leistungsbereitschaft auf dem Grün zu sinnieren.","Silently, the coach of the football district league club VfL Wolbeck first retreated (inwardly) to ponder over the lack of motivation on the playing field.",The coach of the football district league team VfL Wolbeck kept his words to a minimum,"He was silent, the coach of the VfL Wolbeck football club, and he withdrew (mentally) to think about the lack of commitment on the pitch.","The coach of VfL Wolbeck, a district league football club, kept quiet and first of all (mentally) withdrew to ponder the lack of performance on the pitch.",0.819,15.49,21.07,9.49,-6.0,0.6438,0.7842,0.8269,0.18309999999999993
"Mit Blick auf die deutliche Zunahme von rechtsmotivierten Straftaten und Angriffen auf Asylbewerber und Flüchtlingsunterkünfte sagte Maaßen, er würde in diesem Zusammenhang noch nicht von neuem rechten Terrorismus sprechen.","With regard to the clear increase in right-wing crimes and attacks on asylum seekers and refugee shelters, Maaßen said that he would not yet speak of a new right-wing terrorism.",In view of the clear increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation,"In view of the sharp increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation, Mr Maaßen said that he would not yet speak of new right-wing terrorism in this context.","In view of the sharp increase in right-wing motivated crimes and attacks on asylum seekers and refugee accommodation, Mr Maaßen said that he would not yet speak of new right-wing terrorism in this context.",0.819,27.7,49.0,49.0,21.3,0.7678,0.8718,0.8718,0.10399999999999998
"Michael Hesemann: Wir Historiker reden da vom ""Fallstrick des Anachronismus"", also der Gefahr, Vergangenes nach heutigen moralischen Maßstäben zu bewerten.","Michael Hesemann: We historians talk here about ""the pitfall of anachronism"", that is, the danger of evaluating the past according to today's moral standards.","Michael Hesemann: Historians talk about the ""fallacy of anachronism"",","Michael Hesemann: We historians talk about the 'trap of anachronism', that is, the danger of judging the past by today's moral standards.","Michael Hesemann: We historians talk about the 'trap of anachronism', that is, the danger of judging the past by today's moral standards.",0.819,8.47,45.73,45.73,37.26,0.6738,0.8998,0.8998,0.2260000000000001
